id,Umsatz
1808011,178.1039
1808012,514.64185
1808013,235.04399
1808014,131.48735
1808015,344.3764
1808021,178.1039
1808022,514.64185
1808023,235.04399
1808024,131.48735
1808025,344.3764
1808031,178.1039
1808032,514.64185
1808033,235.04399
1808034,131.48735
1808035,344.3764
1808041,226.67033
1808042,574.45056
1808043,284.29224
1808044,173.79749
1808045,393.62466
1808051,226.67033
1808052,574.45056
1808053,284.29224
1808054,173.79749
1808055,393.62466
1808061,178.1039
1808062,514.64185
1808063,235.04399
1808064,131.48735
1808065,344.3764
1808071,178.10387
1808072,514.64185
1808073,235.04399
1808074,131.48735
1808075,344.3764
1808081,178.1039
1808082,514.64185
1808083,235.04399
1808084,131.48735
1808085,344.3764
1808091,178.1039
1808092,514.64185
1808093,235.04399
1808094,131.48735
1808095,344.3764
1808101,168.8441
1808102,491.34967
1808103,226.46599
1808104,115.97128
1808105,335.79846
1808111,218.09235
1808112,563.48914
1808113,275.71423
1808114,165.21951
1808115,385.0467
1808121,218.09235
1808122,563.48914
1808123,275.71423
1808124,165.21951
1808125,385.0467
1808131,178.1039
1808132,514.64185
1808133,235.04396
1808134,131.48735
1808135,344.3764
1808141,178.1039
1808142,514.64185
1808143,235.04399
1808144,131.48735
1808145,344.3764
1808151,178.1039
1808152,514.64185
1808153,235.04399
1808154,131.48735
1808155,344.3764
1808161,178.1039
1808162,514.64185
1808163,235.04399
1808164,131.48735
1808165,344.3764
1808171,168.8441
1808172,491.34967
1808173,226.46599
1808174,115.97128
1808175,335.79846
1808181,226.67033
1808182,574.45056
1808183,284.29224
1808184,173.79749
1808185,393.62466
1808191,226.67033
1808192,574.45056
1808193,284.29224
1808194,173.79749
1808195,393.62463
1808201,168.84412
1808202,491.34967
1808203,226.46599
1808204,115.97128
1808205,335.79846
1808211,168.8441
1808212,491.34967
1808213,226.46599
1808214,115.97128
1808215,335.79846
1808221,178.1039
1808222,514.64185
1808223,235.04399
1808224,131.48735
1808225,344.3764
1808231,178.1039
1808232,514.64185
1808233,235.04399
1808234,131.48735
1808235,344.3764
1808241,168.8441
1808242,491.34967
1808243,226.46599
1808244,115.97128
1808245,335.79846
1808251,218.09235
1808252,563.48914
1808253,275.71423
1808254,165.21951
1808255,385.0467
1808261,218.09235
1808262,563.48914
1808263,275.71423
1808264,165.21951
1808265,385.0467
1808271,168.8441
1808272,491.34967
1808273,226.46599
1808274,115.97128
1808275,335.79846
1808281,168.8441
1808282,491.34967
1808283,226.46599
1808284,115.97128
1808285,335.79846
1808291,178.1039
1808292,514.64185
1808293,235.04399
1808294,131.48735
1808295,344.3764
1808301,168.8441
1808302,491.34967
1808303,226.46599
1808304,115.97128
1808305,335.79846
1808311,168.8441
1808312,491.34967
1808313,226.46599
1808314,115.97128
1808315,335.79846
1809011,176.3773
1809012,488.2926
1809013,232.15111
1809014,123.50447
1809015,343.33163
1809021,176.3773
1809022,488.2926
1809023,232.15111
1809024,123.504486
1809025,343.33163
1809031,138.53938
1809032,430.80215
1809033,181.35701
1809034,98.40234
1809035,302.6614
1809041,138.53938
1809042,430.80215
1809043,181.35701
1809044,98.40234
1809045,302.6614
1809051,138.53938
1809052,430.80215
1809053,181.35701
1809054,98.40234
1809055,302.6614
1809061,138.53938
1809062,430.80215
1809063,181.35701
1809064,98.40234
1809065,302.6614
1809071,128.61295
1809072,407.50995
1809073,171.0981
1809074,77.86586
1809075,294.0834
1809081,173.91399
1809082,479.89633
1809083,222.00565
1809084,120.71428
1809085,340.54144
1809091,173.91397
1809092,479.8963
1809093,222.00565
1809094,120.71428
1809095,340.54144
1809101,128.61295
1809102,407.50995
1809103,171.0981
1809104,77.86586
1809105,294.0834
1809111,128.61295
1809112,407.50995
1809113,171.0981
1809114,77.86586
1809115,294.0834
1809121,128.61295
1809122,407.50995
1809123,171.0981
1809124,77.86586
1809125,294.0834
1809131,128.61295
1809132,407.50995
1809133,171.0981
1809134,77.86586
1809135,294.0834
1809141,128.61295
1809142,407.50995
1809143,171.09813
1809144,77.86587
1809145,294.0834
1809151,173.91397
1809152,479.8963
1809153,222.00565
1809154,120.71428
1809155,340.54144
1809161,173.91397
1809162,479.8963
1809163,222.00565
1809164,120.71428
1809165,340.54144
1809171,126.542076
1809172,399.11368
1809173,160.95262
1809174,83.739746
1809175,288.59412
1809181,126.542076
1809182,399.11368
1809183,160.95262
1809184,83.739746
1809185,288.59412
1809191,87.15017
1809192,344.3604
1809193,115.67246
1809194,62.713543
1809195,243.19759
1809201,87.15017
1809202,344.3604
1809203,115.67246
1809204,62.713543
1809205,243.19759
1809211,89.38449
1809212,352.7567
1809213,125.70155
1809214,55.31529
1809215,253.34306
1809221,136.75641
1809222,433.53937
1809223,186.7546
1809224,90.079285
1809225,302.60455
1809231,136.75641
1809232,433.53937
1809233,186.7546
1809234,90.079285
1809235,302.60455
1809241,89.38449
1809242,352.7567
1809243,125.70155
1809244,55.31529
1809245,253.34306
1809251,89.38449
1809252,352.7567
1809253,125.70155
1809254,55.31529
1809255,253.34306
1809261,89.38449
1809262,352.7567
1809263,125.70155
1809264,55.31529
1809265,253.34306
1809271,89.38449
1809272,352.75674
1809273,125.70157
1809274,55.31529
1809275,253.34306
1809281,89.38449
1809282,352.7567
1809283,125.70155
1809284,55.31529
1809285,253.34306
1809291,136.75641
1809292,433.53937
1809293,186.7546
1809294,90.079285
1809295,302.60455
1809301,136.75641
1809302,433.53937
1809303,186.7546
1809304,90.079285
1809305,302.60455
1810011,89.38449
1810012,352.7567
1810013,125.70155
1810014,55.31529
1810015,253.34306
1810021,87.15017
1810022,344.3604
1810023,115.67246
1810024,62.713543
1810025,243.19759
1810031,83.52689
1810032,347.34528
1810033,121.84302
1810034,47.841614
1810035,247.35213
1810041,89.38449
1810042,352.7567
1810043,125.70155
1810044,55.31529
1810045,253.34306
1810051,89.38449
1810052,352.7567
1810053,125.70155
1810054,55.31529
1810055,253.34306
1810061,136.75641
1810062,433.53937
1810063,186.7546
1810064,90.079285
1810065,302.60455
1810071,136.75641
1810072,433.53937
1810073,186.7546
1810074,90.079285
1810075,302.60455
1810081,89.38449
1810082,352.7567
1810083,125.70155
1810084,55.31529
1810085,253.34306
1810091,89.38449
1810092,352.7567
1810093,125.70155
1810094,55.31529
1810095,253.34306
1810101,89.38449
1810102,352.75674
1810103,125.70155
1810104,55.31529
1810105,253.34306
1810111,89.38449
1810112,352.7567
1810113,125.70155
1810114,55.31529
1810115,253.34306
1810121,100.00307
1810122,376.04892
1810123,135.9605
1810124,76.09298
1810125,261.93436
1810131,134.68553
1810132,425.14307
1810133,176.60912
1810134,97.15921
1810135,299.8144
1810141,134.68553
1810142,425.14307
1810143,176.60912
1810144,97.15921
1810145,299.8144
1810151,100.00307
1810152,376.04892
1810153,135.9605
1810154,76.09298
1810155,261.93436
1810161,89.38449
1810162,352.7567
1810163,125.70157
1810164,55.31529
1810165,253.34306
1810171,100.00307
1810172,376.04892
1810173,135.9605
1810174,76.09298
1810175,261.93436
1810181,89.38449
1810182,352.7567
1810183,125.70155
1810184,55.31529
1810185,253.34306
1810191,89.38449
1810192,352.7567
1810193,125.70155
1810194,55.31529
1810195,253.34306
1810201,134.68553
1810202,425.14307
1810203,176.60912
1810204,97.15921
1810205,299.8144
1810211,134.68553
1810212,425.14307
1810213,176.60912
1810214,97.15921
1810215,299.8144
1810221,89.38449
1810222,352.7567
1810223,125.70155
1810224,55.31529
1810225,253.34306
1810231,89.38449
1810232,352.7567
1810233,125.70155
1810234,55.31529
1810235,253.34306
1810241,89.38449
1810242,352.7567
1810243,125.70155
1810244,55.31529
1810245,253.34306
1810251,89.38449
1810252,352.7567
1810253,125.70155
1810254,55.31529
1810255,253.34306
1810261,89.38449
1810262,352.7567
1810263,125.70155
1810264,55.31529
1810265,253.34306
1810271,134.68553
1810272,425.14307
1810273,176.60912
1810274,97.15921
1810275,299.8144
1810281,134.68553
1810282,425.14307
1810283,176.60912
1810284,97.15921
1810285,299.8144
1810291,87.15017
1810292,344.36047
1810293,115.67248
1810294,62.713543
1810295,243.19759
1810301,89.38449
1810302,352.7567
1810303,125.70155
1810304,55.31529
1810305,253.34306
1811011,128.61295
1811012,407.50995
1811013,171.0981
1811014,77.86586
1811015,294.0834
1811016,59.049862
1811021,128.61295
1811022,407.50995
1811023,171.0981
1811024,77.86586
1811025,294.0834
1811026,59.049862
1811031,173.91397
1811032,479.8963
1811033,222.00565
1811034,120.71428
1811035,340.54144
1811036,108.17637
1811041,173.91397
1811042,479.8963
1811043,222.00565
1811044,120.71428
1811045,340.54144
1811046,108.176384
1811051,128.61296
1811052,407.50995
1811053,171.0981
1811054,77.86586
1811055,294.0834
1811056,59.049862
1811061,126.542076
1811062,399.11368
1811063,160.95262
1811064,83.739746
1811065,288.59412
1811066,50.655277
1811071,128.61295
1811072,407.50995
1811073,171.0981
1811074,77.86586
1811075,294.0834
1811076,59.049862
1811081,128.61295
1811082,407.50995
1811083,171.0981
1811084,77.86586
1811085,294.0834
1811086,59.049862
1811091,126.542076
1811092,399.11368
1811093,160.95262
1811094,83.739746
1811095,288.59412
1811096,50.655277
1811101,176.3773
1811102,488.2926
1811103,232.15114
1811104,123.504486
1811105,343.33163
1811106,117.70628
1811111,176.3773
1811112,488.2926
1811113,232.15111
1811114,123.504486
1811115,343.33163
1811116,117.70628
1811121,128.61295
1811122,407.50995
1811123,171.0981
1811124,77.86586
1811125,294.0834
1811126,59.049862
1811131,128.61295
1811132,407.50995
1811133,171.0981
1811134,77.86586
1811135,294.0834
1811136,59.049862
1811141,126.542076
1811142,399.11368
1811143,160.95262
1811144,83.739746
1811145,288.59412
1811146,50.655277
1811151,128.61295
1811152,407.50995
1811153,171.0981
1811154,77.86587
1811155,294.0834
1811156,59.049862
1811161,126.542076
1811162,399.11368
1811163,160.95262
1811164,83.739746
1811165,288.59412
1811166,50.655277
1811171,173.91397
1811172,479.8963
1811173,222.00565
1811174,120.71428
1811175,340.54144
1811176,108.17637
1811181,173.91397
1811182,479.8963
