id,Datum,Warengruppe,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6,FerienSH,Feiertag,Weihnachtsmarkt,Temperatur,Wochenende,Jahreszeit_Temperatur_1Hoch,Jahreszeit_Temperatur_1Mittel,Jahreszeit_Temperatur_1Niedrig,Jahreszeit_Temperatur_2Hoch,Jahreszeit_Temperatur_2Mittel,Jahreszeit_Temperatur_3Hoch,Jahreszeit_Temperatur_3Mittel,Jahreszeit_Temperatur_3Niedrig,Jahreszeit_Temperatur_4Mittel,Jahreszeit_Temperatur_4Niedrig,Umsatz
1808011.0,2018-08-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,23.7625,0,0,0,0,1,0,0,0,0,0,0,140.1358375
1808012.0,2018-08-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,23.7625,0,0,0,0,1,0,0,0,0,0,0,429.9958386
1808013.0,2018-08-01,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,23.7625,0,0,0,0,1,0,0,0,0,0,0,182.93675259999998
1808014.0,2018-08-01,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,23.7625,0,0,0,0,1,0,0,0,0,0,0,108.18735949999999
1808015.0,2018-08-01,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,23.7625,0,0,0,0,1,0,0,0,0,0,0,299.2442446
1808021.0,2018-08-02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,26.1875,0,0,0,0,1,0,0,0,0,0,0,140.1358375
1808022.0,2018-08-02,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,26.1875,0,0,0,0,1,0,0,0,0,0,0,429.9958386
1808023.0,2018-08-02,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,26.1875,0,0,0,0,1,0,0,0,0,0,0,182.93675259999998
1808024.0,2018-08-02,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,26.1875,0,0,0,0,1,0,0,0,0,0,0,108.18735949999999
1808025.0,2018-08-02,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,26.1875,0,0,0,0,1,0,0,0,0,0,0,299.2442446
1808031.0,2018-08-03,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,27.6625,0,0,0,0,1,0,0,0,0,0,0,140.1358375
1808032.0,2018-08-03,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,27.6625,0,0,0,0,1,0,0,0,0,0,0,429.9958386
1808033.0,2018-08-03,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,27.6625,0,0,0,0,1,0,0,0,0,0,0,182.93675259999998
1808034.0,2018-08-03,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,27.6625,0,0,0,0,1,0,0,0,0,0,0,108.18735949999999
1808035.0,2018-08-03,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,27.6625,0,0,0,0,1,0,0,0,0,0,0,299.2442446
1808041.0,2018-08-04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,25.1375,1,0,0,0,1,0,0,0,0,0,0,192.54119300000002
1808042.0,2018-08-04,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,25.1375,1,0,0,0,1,0,0,0,0,0,0,482.4011941
1808043.0,2018-08-04,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,25.1375,1,0,0,0,1,0,0,0,0,0,0,235.3421081
1808044.0,2018-08-04,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,25.1375,1,0,0,0,1,0,0,0,0,0,0,160.592715
1808045.0,2018-08-04,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,25.1375,1,0,0,0,1,0,0,0,0,0,0,351.64960010000004
